平台,关键词,标题,内容类型,摘要,作者,作者主页,文章/回答链接,发布时间,排序分数,阅读量,点赞数,收藏数,评论数,抓取时间
知乎,AI创业,"2026年AI初创公司:物理 AI 与机器人,从屏幕走进车间(十二) - 知乎",Article,"Kevin
本文章收集了2026创立的AI初创公司，研究AI创业的新趋势。

物理 AI 与机器人：从屏幕走进车间
2026 上半年全球物理 AI 风投 474 亿美元/521 笔（Crunchbase）；人形机器人赛道年内 87 亿美元、已达 2025 全年两倍（Dealroom）。新创公司不再痴迷人形整机，而聚焦""机器人大脑""。
Rhoda AI：视频驱动机器人基础模型
成立时间：隐身开发约 18 个月后于 2026 年 3 月 10 日亮相（约 2024 年底创立）
总部：美国 Palo Alto
团队：CEO 领衔 + 斯坦福研究员与生成式 AI/机器人工程师团队
公司概况
Rhoda 反对当下主流 VLA（视觉-语言-动作）模型依赖昂贵遥操作数据采集的做法：把机器人控制重新表述为""视频生成""问题--在数亿段互联网视频上预训练运动/物理先验（FutureVision 模型），再用少至 10 小时的机器人数据后训练，以闭环视频预测控制实现实时物理交互。已在高产能制造场景实现单循环 2 分钟内无人干预完成零件加工，超越客户 KPI。
创始团队
・Jagdeep Singh（联合创始人 & CEO）：硅谷传奇连续创业者--光通信公司 Infinera 创始人、固态电池明星公司 QuantumScape 创始人。
・核心团队含斯坦福研究人员与来自生成式 AI、机器人组织的工程师。
产品与方向
FutureVision（DVA 架构基础模型）+ 机器人系统，主攻制造与物流场景；计划将 FutureVision 授权给不同硬件平台（""卖大脑不卖身体""），路线图含自有人形硬件。",数据与AI爱好者,,https://zhuanlan.zhihu.com/p/2074239535647549186?utm_medium=openapi_platform&utm_source=6cef246,1787318003,2.2298255,,20,,0,2026-08-26T06:58:55+08:00
知乎,AI创业,2026年AI初创公司:River AIriver.ai(七) - 知乎,Article,"Kevin
本文章收集了2026创立的AI初创公司，研究AI创业的新趋势。
River AIriver.ai：个人可训练 AI开源权重微调美国·Palo Alto

种子+A 轮融资$1.1B · 估值约 $5B（2026.8.11）
成立时间
2026 年 4 月（内华达州注册）；6 月 10 日出隐身；8 月 11 日官宣融资
总部
美国 Palo Alto
团队规模
xAI 与 Tesla 工程师为班底（公司成立约 2 个月即获 11 亿美元）
公司概况
River AI 的口号是""AI 属于使用它的人和组织，而不是创造它的实验室""。Babuschkin 认为行业要走向""个人 AI""（像忠诚于个体的私人助理而非替代员工的代理），必须从训练、模型、产品层到贴近用户的新硬件端到端重建整个技术栈。产品主张：企业与其租用通用大模型，不如用自有数据训练、拥有自己的模型。
创始团队
・Igor Babuschkin（创始人 & CEO）：xAI 联合创始人；此前在 OpenAI 参与大规模模型训练、在 Google DeepMind 从事生成式建模与强化学习，亦曾任职 Tesla。据报道其个人向 River 投入至多 1 亿美元。
・工程团队主要来自 xAI 与 Tesla。",数据与AI爱好者,,https://zhuanlan.zhihu.com/p/2073868468500354552?utm_medium=openapi_platform&utm_source=6cef246,1787228982,2.2259896,,22,,0,2026-08-26T06:58:55+08:00
知乎,AI创业,AI创业的新趋势:2026年有哪些新的AI初创公司(二) - 知乎,Article,"#	公司	成立/亮相	总部	方向	创始人背景	标志性融资
A. 前沿 AI 实验室（""后 LLM""技术路线）	 	 	 	 	 	 
1	Ineffable Intelligence ★	2025.11 注册 / 2026.1 运营	伦敦	强化学习""超级学习者""，不依赖人类数据	David Silver：DeepMind RL 负责人，AlphaGo/AlphaZero/AlphaStar 缔造者	11 亿美元种子 @ 51 亿估值
2	AMI Labs ★	2025.12.15	巴黎（+纽约/蒙特利尔/新加坡）	世界模型 / JEPA 架构	Yann LeCun（图灵奖得主）+ Alexandre LeBrun（Nabla）+ 谢赛宁 + 冯雁等	10.3 亿美元种子 @ 35 亿 pre
3	Recursive Superintelligence ★	2025 年末	伦敦 + 旧金山	递归自我改进 AI（AI 研发 AI）	Richard Socher（前 Salesforce 首席科学家）+ Rocktäschel/Clune/Tobin/Shi 等	6.5 亿美元 @ 46.5 亿估值
4	Humans& ★	2025.9	旧金山	""人本 AI""：协作/长时程/多智能体	Eric Zelikman（前 xAI）+ Andi Peng（前 Anthropic）+ Georges Harik（谷歌 7 号员工）等	4.8 亿美元种子 @ 44.8 亿估值
5	River AI ★	2026.4 注册	Palo Alto	个人可训练 AI：开源模型 RL/LoRA 微调 API	Igor Babuschkin：xAI 联合创始人，前 OpenAI/DeepMind/Tesla	11 亿美元种子+A @ ~50 亿估值
6	Core Automation ‡	2026 年初	美国	持续学习（continuous learning）	Jerry Tworek：前 OpenAI 研究副总裁	拟融资 5–10 亿美元
7	Merge Labs ★	2026.1.15 亮相	洛杉矶	非侵入式脑机接口（超声+分子）	Sam Altman（个人联创）+ Mikhail Shapiro（Caltech 教授）+ Alex Blania（Worldcoin CEO）等六人	2.52 亿美元种子 @ 8.5 亿估值
",数据与AI爱好者,,https://zhuanlan.zhihu.com/p/2073862480254735591?utm_medium=openapi_platform&utm_source=6cef246,1787227797,2.2250469,,22,,0,2026-08-26T06:58:55+08:00
知乎,AI创业,2026年AI初创公司:Ineffable Intelligence(三) - 知乎,Article,"Kevin
本文章收集了2026创立的AI初创公司，研究AI创业的新趋势。
05. 前沿 AI 实验室：七种""超越 LLM""的赌注
2026 届最显著的现象：一批世界级研究领袖集体出走创业，且几乎全部押注""大语言模型之外""的技术路线。资本对他们的定价方式，不是看产品，而是看""下一个 AlphaGo 时刻""的概率。
Ineffable Intelligence低语智能 / ineffable.ai
强化学习自学习 Superlearner英国·伦敦欧洲最大种子轮

种子轮
融资$1.1B， 估值 $5.1B（2026.4）
成立时间
2025 年 11 月注册，2026 年 1 月正式运营；2026 年 4 月 27 日出隐身
总部
英国伦敦
团队规模
小规模研究团队（CTO Lasse Espeholt 等；Silver 承诺捐出个人全部股权收益，为 Founders Pledge 史上最大承诺）
公司概况
Ineffable Intelligence 是 2026 年全球最受关注的新 AI 实验室。其核心命题极为激进：构建一个""超级学习者""（Superlearner）——完全通过自我经验强化学习来发现一切知识与技能、不依赖任何人类生成数据的 AI。David Silver 将人类数据称为""化石燃料""，认为互联网文本只是智能的残渣而非路径。公司成立时无产品、无营收、无公开路线图，却在 5 个月内拿到欧洲历史上最大的种子轮，估值 51 亿美元。
创始团队
・David Silver（创始人 & CEO）：DeepMind 强化学习负责人（2013–2026），AlphaGo、AlphaZero、AlphaStar 三大里程碑的缔造者，UCL 教授，h 指数 104、引用超 30 万。
・Lasse Espeholt（CTO）：前 Google DeepMind 资深研究科学家（SEED RL、IMPALA 等分布式 RL 经典工作作者）。
・创始成员还包括 Alexandre Laterre 等前 DeepMind 工程研究者。",数据与AI爱好者,,https://zhuanlan.zhihu.com/p/2073864428093808712?utm_medium=openapi_platform&utm_source=6cef246,1787228151,2.2237577,,20,,0,2026-08-26T06:58:55+08:00
知乎,AI创业,AI创业的新趋势:2026年有哪些新的AI初创公司(一) - 知乎,Article,"Kevin
本文章收集了2026创立的AI初创公司，研究AI创业的新趋势。
01 TL;DR 核心摘要
1.2026 年 AI 创业热度不减反增，但形态巨变。全球投向 AI 的种子资金超 150 亿美元（同比 +50%），占全部种子资金的 42%；种子与 A 轮资金中超过 40% 流向了 1 亿美元以上的""椰子轮""（coconut rounds）。创业不再是""车库里的两个年轻人""，而是功成名就的研究领袖与大厂高管带着十亿美元级资本起跑。
2.""为人买单、不为产品买单""成为主流定价逻辑。David Silver（AlphaGo 之父）的 Ineffable Intelligence 无产品、无营收，种子轮即 11 亿美元、估值 51 亿美元；Yann LeCun 的 AMI Labs、Richard Socher 的 Recursive、Humans&、River AI 均在成立数月内获得数亿美元级融资。
3.技术路线集体""反 LLM""。2026 届新实验室几乎都在押注大语言模型之外的路径：强化学习自学习（Ineffable）、世界模型/JEPA（AMI）、递归自我改进（Recursive）、持续学习（Core Automation）、个人可训练 AI（River）。共识：互联网文本数据已被""采完""，下一跃升来自经验、物理与自我改进。
4.资金从模型层向""物理 AI""与基础设施迁移。2026 上半年全球物理 AI 风投 474 亿美元/521 笔；人形机器人赛道年内已吸金 87 亿美元（为 2025 全年两倍）。推理引擎（Inferact、RadixArk）、AI 网络交换机（Eridu）、AI 芯片设计（Ricursive）、能效计算（Unconventional）、电力与数据中心（Helix 100 亿美元）成为新的""卖铲人""。
5.开源项目公司化是 2026 年独特现象。伯克利系两大推理引擎 vLLM→Inferact（1.5 亿美元种子）、SGLang→RadixArk（1 亿美元种子），延续了 Databricks（Spark）、Anyscale（Ray）的路径，且从开源到公司化的间隔被压缩到两年左右。
6.中国呈现不同节奏：融资大年，而非成立大年。2026 上半年中国 AI 创业公司融资约 3000 亿元人民币、超 2025 全年，但资金高度集中于 DeepSeek（A 轮约 510 亿元）、月之暗面（半年 4 轮 376 亿元）等成立于 2023-2024 年的存量公司；新创立公司趋于小型化、出海化（""Day One Global""）。
7.泡沫信号真实存在：无产品高估值、循环交易（OpenAI 投资自家 CEO 联创的 Merge Labs）、二级市场 Anthropic 股权基金净值回撤 67% 折价求售——资本的狂欢与冷静正在同时发生。",数据与AI爱好者,,https://zhuanlan.zhihu.com/p/2073859501980235361?utm_medium=openapi_platform&utm_source=6cef246,1787227334,2.2234173,,21,,0,2026-08-26T06:58:55+08:00
知乎,AI创业,2026年AI初创公司:AMI LabsAdvanced Machine Intelligence(四) - 知乎,Article,"融资时约 12 人，定位长期研究组织（LeCun 称 5 年内可能没有可售产品）
公司概况
图灵奖得主、""深度学习三巨头""之一 Yann LeCun 因与扎克伯格在技术路线上分歧（LeCun 反对无限堆算力迭代 LLM，主张世界模型）离开效力 12 年的 Meta，创立 AMI Labs。公司基于 LeCun 提出的 JEPA（联合嵌入预测架构），构建通过视觉、空间与传感器数据理解物理世界、具备长期记忆与规划能力的""世界模型""，被视为对 LLM 范式的正面挑战。CEO Alexandre LeBrun 预言：""六个月内，每家公司都会自称世界模型公司。""
创始团队
・Yann LeCun（执行主席）：2018 年图灵奖得主，卷积网络之父，前 Meta 首席 AI 科学家、FAIR 创始人。
・Alexandre LeBrun（CEO）：连续创业者，医疗 AI 公司 Nabla 联合创始人（AMI 首个外部合作伙伴即 Nabla，测试世界模型在临床场景的表现）。
・谢赛宁（Saining Xie，首席科学家）：NYU 教授，视觉表征学习领军学者。
・冯雁（Pascale Fung，首席研究与创新官）：HKUST 教授，人本 AI 先驱。
・Mike Rabbat（世界模型 VP）、Laurent Solly（COO，前 Meta 欧洲副总裁）。
产品与方向",数据与AI爱好者,,https://zhuanlan.zhihu.com/p/2073865899698808308?utm_medium=openapi_platform&utm_source=6cef246,1787228296,2.2217035,,20,,0,2026-08-26T06:58:55+08:00
知乎,AI创业,关于AI创业的一些思考 - 知乎,Article,"最近聊二级市场聊得比较少了。
原因很简单，我对后市的判断就是很长一段时间内处于鸡肋市行情中。
具体体现就是指数不断下移，但除了一些前期过热且拥挤度极高的板块，个股不会出现大幅下跌，因为估值没什么水分。
但也不会有太强的趋势性行情，因为没有上涨驱动。
总之，就是你亏也亏不了多少钱，赚也赚不了多少钱。
这种行情其实比较适合新手培养持股耐心和不断试错。
但对于老手或者职业投资者而言，就比较乏味了。
因为自身的投资或交易体系都比较成熟的话，在基本面边际变化不大的情况下，也没必要时时盯盘，看好大逻辑大方向，然后保持耐心即可。
具体可以考虑哪些方向，还是可以参考我周报中提到的策略，以及在星球回答读者提问时提到的红利股和一些相对高弹性的资产配置方案。
不过虽然二级市场不给什么机会，但钱总还是要赚的。
我之前也说过，AI相关资产在二级市场上的价格暴涨只是AI革命的先声和预演。
AI带来的真正赚钱机会远不止股市，还有更多实实在在发生在现实生活中的变革和机遇，值得我们去把握。
在判断股市机会不大后，我的注意力重心也会更多从资本市场转移至现实世界。
也就是AI创业。
关于AI创业，这里首先要纠正一个误区。
那就是很多人认为AI创业是一件门槛很高的事。
什么大模型、推理部署、多模态、具身智能………对于普通人都太遥远了。
的确，你单看这些技术层面的东西，普通人确实不知道该如何下手。
但创业从来就不和技术强绑定。
这里就举一个反例。
注意，不是挂人，只是借此机会阐述一下很多人的一个搞钱误区。
这位读者不看好AI创业的逻辑就是，现在的科技创新领域已经被各大巨头垄断了，普通人做AI软件根本无力和那些巨头竞争。
这其实就是思路走窄了。
AI创业的机会千千万，从来不局限于做应用这一条路。
以2015—2019年的移动互联网创业潮为例。
可能很多人一想到移动互联网创业，就是开发各种APP应用。
如果你对风口创业的理解仅限于此，那么你现在能想到的AI创业项目，可能就是现在很多独立开发者做的那样，手搓各种app或小程序等产品。
但其实这种模式的成功率很低，很难cover硬件和token成本。
我不是否定这种商业模式，这种模式你如果真做出一个爆款当然也是能赚钱的。
只是这种商业模式背后体现的更多还是偏程序员的思维，而非商人思维。
什么是商人思维呢？
还是以移动互联网创业潮为例。
现在回顾那一轮移动互联网创业潮，移动端软件开发确实是上限最高，很多互联网巨头也是在这一次浪潮中崛起的。",余说不说谎,,https://zhuanlan.zhihu.com/p/2067039445371576679?utm_medium=openapi_platform&utm_source=6cef246,1785839756,2.0617354,,54,,10,2026-08-26T06:58:55+08:00
知乎,AI创业,AI 产品创业与变现:用 Ace Data Cloud 快速搭建你的 AI 平台 - 知乎,Article,"AI 产品创业与变现，除了做内容，还有一条更快的路：用 Ace Data Cloud 搭建自己的 AI 平台


如果你正在关注 AI 应用、开发者工具、MCP、OpenAI 兼容接口，或者想把 AI 能力变成自己的业务，Ace Data Cloud 提供了两条非常清晰的路径：一条是直接推广 Ace Data Cloud，低成本获得分成；另一条是运营自己的白标 AI 平台，用自己的品牌、域名和价格体系服务客户。


这两条路并不是互相排斥的选择，而是可以从轻到重、从验证到规模化同时推进的增长方式。对内容创作者、社群主理人、开发者、企业服务团队来说，都很适合从这里开始。


Ace Data Cloud 是什么？


Ace Data Cloud 目前主要有两类产品形态：


・Studio：面向普通用户和创作者，让用户更方便地使用各种 AI 能力，例如图像、视频、音乐、语音等生成能力。
・API Platform：面向开发者和企业，提供 API、OpenAI 兼容接口、MCP 集成、调用凭证、额度控制、用量统计等能力，方便把 AI 能力接入到自己的产品、Agent、IDE 或内部系统中。


换句话说，Ace Data Cloud 不只是一个“AI 工具站”，更像是一个把主流 AI 能力产品化、接口化、可运营化的平台。你可以直接推广它，也可以基于它运营自己的品牌站点。


官网入口：
・Ace Data Cloud Studio：https://studio.acedata.cloud
・Ace Data Cloud API Platform：https://platform.acedata.cloud


路径一：推广 Ace Data Cloud，零成本开始变现


如果你还没有成熟的客户资源，或者暂时不想搭建自己的品牌站点，可以先选择更轻量的方式：直接推广 Ace Data Cloud。


注册后进入分销后台，就可以获取你的专属推广链接和二维码。用户通过你的链接访问并在有效归因期内注册后，就会与你的账号建立关联。后续只要用户产生符合规则的真实消费，就会进入你的分销统计。


分销后台入口： platform.acedata.cloud/...https://platform.acedata.cloud/console/distributions


这条路径最大的优点是启动成本低：


",崔庆才丨静觅,,https://zhuanlan.zhihu.com/p/2072151249554772934?utm_medium=openapi_platform&utm_source=6cef246,1786819357,2.0552547,,0,,0,2026-08-26T06:58:55+08:00
知乎,AI创业,"又一位xAI联创宣布创业,押注开源模型和个人AI,融资11亿美元 - 知乎",Article,"但相比已经成形的产品，投资人或许更看重的还是巴布什金本人、他的团队，以及 River AI 所代表的一条不同于当前主流的技术路线。巴布什金想解决的问题，可以概括成一句话：AI 为什么一定要掌握在 OpenAI、Anthropic 这样的少数公司手中？
过去几年，人们越来越习惯通过 API 或聊天产品使用大模型。模型运行在少数科技公司的数据中心里，用户按 Token 或订阅付费，模型如何训练、如何调整，最终都由模型公司决定。巴布什金认为，这只是 AI 发展早期形成的一种产品形态，而不是唯一的终点。
在 8 月 11 日与 General Catalyst CEO Hemant Taneja 的对话中，他反复强调“控制权”。他设想未来企业可以“拥有自己的智能”，个人也可以拥有真正属于自己的 AI。模型不只是记住几条偏好，而是可以根据长期使用和反馈继续训练，真正改变模型能力。
这种想法与他的职业经历直接相关。巴布什金毕业于德国多特蒙德工业大学，最初学的是物理，是AlphaGo 的突破让他决定转向人工智能。他随后进入 DeepMind，从事生成模型、WaveNet 和强化学习研究。之后，他又加入 OpenAI，被 GPT-2、GPT-3 背后的 Scaling 路线吸引，并参与大规模模型训练。2023 年，他与马斯克等人共同创办 xAI，参与训练基础设施和模型研发。
他在采访中回忆，当初创办 xAI 时，看中的同样是“增加一个竞争者”的机会。当时前沿大模型还不擅长复杂推理，他和马斯克押注推理能力会快速提升，希望最终用 AI 解决物理、科学、医学和工程问题。后来 Grok 的进展让他更加确信模型会越来越强，但也让另一个问题变得更迫切：如果这些能力最终集中在少数 AI 公司手里，其他企业和普通人还能在多大程度上决定自己的 AI 如何工作？
为了把更多精力放在这个问题上，2025 年 8 月，巴布什金离开 xAI，并宣布成立 Babuschkin Ventures，投资 AI 安全研究和相关创业公司。不到一年后，他重新回到创业一线，创办 River AI。
目前，River 并没有急着直接训练另一个 GPT 或 Grok，而是先从企业更现实的需求切入：如何让一家公司不再只能调用 OpenAI、Anthropic 的通用模型，而是能够用自己的数据，训练和定制一个真正属于自己的 AI。
为此，River 推出了首个产品 River API。",DeepTech深科技,,https://zhuanlan.zhihu.com/p/2070966237371356075?utm_medium=openapi_platform&utm_source=6cef246,1786536917,1.9272555,,0,,0,2026-08-26T06:58:55+08:00
知乎,AI创业,AI时代的新地图!带你看清AI转型和AI创业 - 知乎,Article,"这两年，互联网上破圈的英文单词，除了AI和IP外，就是当下无比火热的OPC了。
从硅谷的“一人独角兽”理念到国内各地补贴算力的AI+OPC社区，人工智能OPC创新创业春意盎然。
但机遇和挑战并存，一人公司（OPC）的本质是“极简创业”，创业就需要面对各种不确定性，更何况AI创业本身就是一个新“物种”。
就像《造浪者：AI创业实战地图》中所说的：
很多起步不错的AI企业短短一两年就消失了……
AI创业不是“上一代技术创业+AI”。它在核心资产、竞争逻辑、成本结构等六个维度上都发生了本质变化。
用旧地图走不出新路。
作者梁桂的专业背景、创业和任职的经历，让他既理解创业者缺钱、缺人、缺方向、缺安全感的真实处境，也理解资本、技术、政策和人才如何形成创业生态的系统逻辑。
过去两年，梁桂密集调研大量AI创业的一线实践，结合技术创业与创新领域的积累以及系统研究，他“梳理和萃取”出了这份400多页的AI创业实战导航手册，呈现了AI创业的完整旅程。",阿蔓的星空,,https://zhuanlan.zhihu.com/p/2071721168231575839?utm_medium=openapi_platform&utm_source=6cef246,1786717813,1.9190207,,0,,0,2026-08-26T06:58:55+08:00
